     channel          r           z      phi      tilt     length   delta_phi        na         pair  
        C259        3.2         0.0    259.0      90.0        1.6        58.0       nan         None  
        C319        3.2         0.0    319.0      90.0        1.6        58.0       nan         None  
        IU30      2.269      0.7575     32.7     112.4     0.5506       51.72       nan         None  
        IU90      2.269      0.7575     87.3     112.4     0.5506       51.72       nan         None  
       IU150      2.269      0.7575    152.7     112.4     0.5506       51.72       nan         None  
       IU210      2.269      0.7575    207.3     112.4     0.5506       51.72       nan         None  
       IU270      2.269      0.7575    272.7     112.4     0.5506       51.72       nan         None  
       IU330      2.269      0.7575    327.3     112.4     0.5506       51.72       nan         None  
        IL30      2.269     -0.7575     32.7      67.6     0.5506       51.72       nan         None  
        IL90      2.269     -0.7575     87.3      67.6     0.5506       51.72       nan         None  
       IL150      2.269     -0.7575    152.7      67.6     0.5506       51.72       nan         None  
       IL210      2.269     -0.7575    207.3      67.6     0.5506       51.72       nan         None  
       IL270      2.269     -0.7575    272.7      67.6     0.5506       51.72       nan         None  
       IL330      2.269     -0.7575    327.3      67.6     0.5506       51.72       nan         None  
       PCC19        3.2         0.0     19.0      90.0        1.6        58.0       nan         None  
       PCC79        3.2         0.0     79.0      90.0        1.6        58.0       nan         None  
      PCC139        3.2         0.0    139.0      90.0        1.6        58.0       nan         None  
      PCC199        3.2         0.0    199.0      90.0        1.6        58.0       nan         None  
      PCC259        3.2         0.0    259.0      90.0        1.6        58.0       nan         None  
      PCC319        3.2         0.0    319.0      90.0        1.6        58.0       nan         None  
      PCIU30      2.269      0.7575     32.7     112.4     0.5506       51.72       nan         None  
      PCIU90      2.269      0.7575     87.3     112.4     0.5506       51.72       nan         None  
     PCIU150      2.269      0.7575    152.7     112.4     0.5506       51.72       nan         None  
     PCIU210      2.269      0.7575    207.3     112.4     0.5506       51.72       nan         None  
     PCIU270      2.269      0.7575    272.7     112.4     0.5506       51.72       nan         None  
     PCIU330      2.269      0.7575    327.3     112.4     0.5506       51.72       nan         None  
      PCIL30      2.269     -0.7575     32.7      67.6     0.5506       51.72       nan         None  
      PCIL90      2.269     -0.7575     87.3      67.6     0.5506       51.72       nan         None  
     PCIL150      2.269     -0.7575    152.7      67.6     0.5506       51.72       nan         None  
     PCIL210      2.269     -0.7575    207.3      67.6     0.5506       51.72       nan         None  
     PCIL270      2.269     -0.7575    272.7      67.6     0.5506       51.72       nan         None  
     PCIL330      2.269     -0.7575    327.3      67.6     0.5506       51.72       nan         None  
       RLC19        3.2         0.0     19.0      90.0        1.6        58.0       nan         None  
       RLC79        3.2         0.0     79.0      90.0        1.6        58.0       nan         None  
      RLC139        3.2         0.0    139.0      90.0        1.6        58.0       nan         None  
      RLC199        3.2         0.0    199.0      90.0        1.6        58.0       nan         None  
      RLC259        3.2         0.0    259.0      90.0        1.6        58.0       nan         None  
      RLC319        3.2         0.0    319.0      90.0        1.6        58.0       nan         None  
